scenario_id,domain,object_type,priority,account_tier,account_revenue,customer_tenure,recent_interactions,sla_hours_remaining,churn_risk_score,compliance_flags,open_cases_count,sentiment_score,behavioral_signals,ground_truth,is_complex
S0001,ServiceDesk,ServiceRequest,Low,Enterprise,1395275.2369197304,2.361154990554178,0,22.31432236837869,0.1664518101002954,0,1,0.984423118582435,2,AI_ROUTE_ELEVATED,True
S0002,CRM,Case,Medium,Standard,14199.909689225387,14.561198214511041,1,29.873335443321647,0.2879904290770788,0,1,0.8844035113697055,1,AI_ROUTE_STANDARD,True
S0003,Sales,Opportunity,High,Gold,373305.40753018326,3.7663998804280556,2,9.15621416993296,0.11598730097358922,0,2,0.8533177315875884,1,STANDARD_ROUTE,False
S0004,HR,PerformanceReview,Low,Standard,86008.04638103362,5.502527395314621,4,14.572991520943914,0.0906509223633802,0,4,0.8299193510875615,2,STANDARD_ROUTE,False
S0005,HR,OnboardingRequest,Medium,Standard,89849.1468318694,2.556264533505239,0,34.37912739309226,0.19768314692320543,0,1,-0.7842171460133911,0,STANDARD_ROUTE,False
S0006,CRM,Case,Low,Standard,32436.300623398743,2.1131278995306904,2,14.26319401340398,0.23909782081294614,0,4,-0.7798961509446465,0,STANDARD_ROUTE,False
S0007,HR,OnboardingRequest,Low,Basic,1062.5691747807164,2.859504637354223,1,6.193604948349933,0.3497934692463056,0,3,-0.005502988215229099,0,STANDARD_ROUTE,False
S0008,CRM,Case,Low,Gold,264414.80532729253,0.13443699649975957,3,21.769700317221854,0.44457068510128034,0,3,0.6328637464387679,1,STANDARD_ROUTE,False
S0009,Compliance,AuditRequest,Low,Standard,39336.30146816962,0.9950817696008287,3,45.17485506325619,0.6735304802225355,0,0,0.08289594765513164,1,STANDARD_ROUTE,False
S0010,Sales,Opportunity,High,Standard,99662.83297821319,13.45784415672155,2,13.746389248128638,0.33923017557616253,1,5,0.8802668849155568,1,ESCALATE_COMPLIANCE,False
S0011,HR,LeaveApproval,Medium,Standard,99501.17163497386,0.7739761616664319,0,23.959951471213145,0.30024025788992875,0,2,-0.4990763627888317,2,STANDARD_ROUTE,False
S0012,Compliance,PolicyReview,Medium,Standard,61921.34961637232,2.713173733366774,2,1.6550084054940575,0.09832146075036968,2,1,0.8566371251754508,3,ESCALATE_COMPLIANCE,False
S0013,Finance,InvoiceApproval,High,Enterprise,1227919.8114144737,1.865237793968388,3,10.423639086729608,0.06496105747722121,0,1,0.4178219938202372,1,PRIORITY_ROUTE,False
S0014,Sales,Contract,Medium,Gold,132637.67216009615,0.020793403270465284,1,3.869693557496564,0.1923585026356412,0,2,-0.6899167665445116,3,STANDARD_ROUTE,False
S0015,Sales,Quote,Medium,Gold,230660.49671841634,7.037997944628654,2,40.49609606306912,0.33891201328239245,0,2,-0.20235819711041092,1,AI_ROUTE_STANDARD,True
S0016,Sales,Opportunity,Critical,Enterprise,1142471.7124101617,4.66542248873771,0,43.97265206225782,0.08329263485308012,2,2,-0.1286542026442179,1,ESCALATE_COMPLIANCE,False
S0017,Sales,Contract,Critical,Standard,20446.537645622462,0.1883775078100821,0,41.134377740522844,0.12124998012926863,0,0,-0.13229670152405393,1,PRIORITY_ROUTE,False
S0018,Finance,ExpenseReport,Critical,Gold,473374.5232317932,2.780916456443585,6,38.545091497413985,0.22483825734854457,1,3,-0.4520777453577325,0,ESCALATE_COMPLIANCE,False
